BB,BB Smoothed,BP,BP Smoothed,SB,SB Smoothed,VB,VBSmoothed,CycleRAP score,CycleRAP score Smoothed,BB Band,BP Band,SB Band,VB Band,CycleRAP score Band,BB Smoothed.1,BP Smoothed.1,SB Smoothed.1,VB Smoothed
2.25,2.313353828398274,2.25,2.313353828398274,4.5,3.8133538283982737,0.7298665750825399,0.5445227783113532,9.72986657508254,8.984584263506175,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.25,2.313353828398274,2.25,2.313353828398274,4.5,3.8133538283982737,0.7298665750825399,0.5445227783113532,9.72986657508254,8.984584263506175,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.440061485194822,2.313353828398274,2.440061485194822,2.313353828398274,2.440061485194822,3.8133538283982737,0.17383518476897986,0.5445227783113532,7.4940196403534465,8.984584263506175,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.25,2.25,2.25,2.25,2.25,2.25,0.0,0.0,6.75,6.75,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.440061485194822,2.440061485194822,2.440061485194822,2.440061485194822,2.440061485194822,2.440061485194822,0.1161728222899303,0.1161728222899303,7.4363572778743965,7.4363572778743965,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.25,2.25,2.25,2.25,2.25,2.25,0.0,0.0,6.75,6.75,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.25,2.25,2.25,2.25,2.25,2.25,0.0,0.0,6.75,6.75,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.25,2.25,2.25,2.25,4.5,4.5,0.8166772248931474,0.8166772248931474,9.816677224893148,9.816677224893148,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.25,2.25,2.25,2.25,2.25,2.25,0.0,0.0,6.75,6.75,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.25,2.25,2.25,2.25,2.25,2.25,0.0,0.0,6.75,6.75,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.25,2.25,2.25,2.25,2.25,2.25,0.0,0.0,6.75,6.75,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.25,2.25,2.25,2.25,2.25,2.25,0.0,0.0,6.75,6.75,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.25,2.25,2.25,2.25,4.5,4.5,2.5675837045852075,2.5675837045852075,11.567583704585207,11.567583704585207,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.25,2.25,2.25,2.25,2.25,2.25,0.0,0.0,6.75,6.75,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.25,2.25,2.25,2.25,2.25,2.25,0.0,0.0,6.75,6.75,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.25,2.25,2.25,2.25,2.25,2.25,0.0,0.0,6.75,6.75,Low,Low,Low,Low,Low,Low,Low,Medium,Low
